date,season,year,month,holiday,weekday,workingday,weather,total_user
2011-06-10,Summer,2011,Jun,0,5,1,Clear/Cloudy,4586
2011-06-11,Summer,2011,Jun,0,6,0,Clear/Cloudy,4966
2011-06-12,Summer,2011,Jun,0,0,0,Clear/Cloudy,4460
2011-06-13,Summer,2011,Jun,0,1,1,Clear/Cloudy,5020
2011-06-14,Summer,2011,Jun,0,2,1,Clear/Cloudy,4891
2011-06-15,Summer,2011,Jun,0,3,1,Clear/Cloudy,5180
2011-06-16,Summer,2011,Jun,0,4,1,Mist/Overcast,3767
2011-06-17,Summer,2011,Jun,0,5,1,Clear/Cloudy,4844
2011-06-18,Summer,2011,Jun,0,6,0,Clear/Cloudy,5119
2011-06-19,Summer,2011,Jun,0,0,0,Mist/Overcast,4744
2011-06-20,Summer,2011,Jun,0,1,1,Mist/Overcast,4010
2011-06-21,Fall,2011,Jun,0,2,1,Mist/Overcast,4835
2011-06-22,Fall,2011,Jun,0,3,1,Clear/Cloudy,4507
2011-06-23,Fall,2011,Jun,0,4,1,Mist/Overcast,4790
2011-06-24,Fall,2011,Jun,0,5,1,Clear/Cloudy,4991
2011-06-25,Fall,2011,Jun,0,6,0,Clear/Cloudy,5202
2011-06-26,Fall,2011,Jun,0,0,0,Clear/Cloudy,5305
2011-06-27,Fall,2011,Jun,0,1,1,Mist/Overcast,4708
2011-06-28,Fall,2011,Jun,0,2,1,Clear/Cloudy,4648
2011-06-29,Fall,2011,Jun,0,3,1,Clear/Cloudy,5225
2011-06-30,Fall,2011,Jun,0,4,1,Clear/Cloudy,5515
2011-07-01,Fall,2011,Jul,0,5,1,Clear/Cloudy,5362
2011-07-02,Fall,2011,Jul,0,6,0,Clear/Cloudy,5119
2011-07-03,Fall,2011,Jul,0,0,0,Mist/Overcast,4649
2011-07-04,Fall,2011,Jul,1,1,0,Mist/Overcast,6043
2011-07-05,Fall,2011,Jul,0,2,1,Clear/Cloudy,4665
2011-07-06,Fall,2011,Jul,0,3,1,Clear/Cloudy,4629
2011-07-07,Fall,2011,Jul,0,4,1,Clear/Cloudy,4592
2011-07-08,Fall,2011,Jul,0,5,1,Mist/Overcast,4040
2011-07-09,Fall,2011,Jul,0,6,0,Clear/Cloudy,5336
2011-07-10,Fall,2011,Jul,0,0,0,Clear/Cloudy,4881
2011-07-11,Fall,2011,Jul,0,1,1,Clear/Cloudy,4086
2011-07-12,Fall,2011,Jul,0,2,1,Clear/Cloudy,4258
2011-07-13,Fall,2011,Jul,0,3,1,Clear/Cloudy,4342
2011-07-14,Fall,2011,Jul,0,4,1,Clear/Cloudy,5084
2011-07-15,Fall,2011,Jul,0,5,1,Clear/Cloudy,5538
2011-07-16,Fall,2011,Jul,0,6,0,Clear/Cloudy,5923
2011-07-17,Fall,2011,Jul,0,0,0,Clear/Cloudy,5302
2011-07-18,Fall,2011,Jul,0,1,1,Clear/Cloudy,4458
2011-07-19,Fall,2011,Jul,0,2,1,Clear/Cloudy,4541
2011-07-20,Fall,2011,Jul,0,3,1,Clear/Cloudy,4332
2011-07-21,Fall,2011,Jul,0,4,1,Mist/Overcast,3784
2011-07-22,Fall,2011,Jul,0,5,1,Clear/Cloudy,3387
2011-07-23,Fall,2011,Jul,0,6,0,Clear/Cloudy,3285
2011-07-24,Fall,2011,Jul,0,0,0,Clear/Cloudy,3606
2011-07-25,Fall,2011,Jul,0,1,1,Clear/Cloudy,3840
2011-07-26,Fall,2011,Jul,0,2,1,Clear/Cloudy,4590
2011-07-27,Fall,2011,Jul,0,3,1,Clear/Cloudy,4656
2011-07-28,Fall,2011,Jul,0,4,1,Clear/Cloudy,4390
2011-07-29,Fall,2011,Jul,0,5,1,Clear/Cloudy,3846
2011-07-30,Fall,2011,Jul,0,6,0,Clear/Cloudy,4475
2011-07-31,Fall,2011,Jul,0,0,0,Clear/Cloudy,4302
2011-08-01,Fall,2011,Aug,0,1,1,Clear/Cloudy,4266
2011-08-02,Fall,2011,Aug,0,2,1,Clear/Cloudy,4845
2011-08-03,Fall,2011,Aug,0,3,1,Mist/Overcast,3574
2011-08-04,Fall,2011,Aug,0,4,1,Mist/Overcast,4576
2011-08-05,Fall,2011,Aug,0,5,1,Clear/Cloudy,4866
2011-08-06,Fall,2011,Aug,0,6,0,Mist/Overcast,4294
2011-08-07,Fall,2011,Aug,0,0,0,Clear/Cloudy,3785
2011-08-08,Fall,2011,Aug,0,1,1,Clear/Cloudy,4326
2011-08-09,Fall,2011,Aug,0,2,1,Clear/Cloudy,4602
2011-08-10,Fall,2011,Aug,0,3,1,Clear/Cloudy,4780
2011-08-11,Fall,2011,Aug,0,4,1,Clear/Cloudy,4792
2011-08-12,Fall,2011,Aug,0,5,1,Clear/Cloudy,4905
2011-08-13,Fall,2011,Aug,0,6,0,Mist/Overcast,4150
2011-08-14,Fall,2011,Aug,0,0,0,Mist/Overcast,3820
2011-08-15,Fall,2011,Aug,0,1,1,Clear/Cloudy,4338
2011-08-16,Fall,2011,Aug,0,2,1,Clear/Cloudy,4725
2011-08-17,Fall,2011,Aug,0,3,1,Clear/Cloudy,4694
2011-08-18,Fall,2011,Aug,0,4,1,Clear/Cloudy,3805
2011-08-19,Fall,2011,Aug,0,5,1,Mist/Overcast,4153
2011-08-20,Fall,2011,Aug,0,6,0,Clear/Cloudy,5191
2011-08-21,Fall,2011,Aug,0,0,0,Clear/Cloudy,3873
2011-08-22,Fall,2011,Aug,0,1,1,Clear/Cloudy,4758
2011-08-23,Fall,2011,Aug,0,2,1,Clear/Cloudy,5895
2011-08-24,Fall,2011,Aug,0,3,1,Clear/Cloudy,5130
2011-08-25,Fall,2011,Aug,0,4,1,Mist/Overcast,3542
2011-08-26,Fall,2011,Aug,0,5,1,Clear/Cloudy,4661
2011-08-27,Fall,2011,Aug,0,6,0,Mist/Overcast,1115
2011-08-28,Fall,2011,Aug,0,0,0,Clear/Cloudy,4334
2011-08-29,Fall,2011,Aug,0,1,1,Clear/Cloudy,4634
2011-08-30,Fall,2011,Aug,0,2,1,Clear/Cloudy,5204
2011-08-31,Fall,2011,Aug,0,3,1,Clear/Cloudy,5058
2011-09-01,Fall,2011,Sep,0,4,1,Clear/Cloudy,5115
2011-09-02,Fall,2011,Sep,0,5,1,Mist/Overcast,4727
2011-09-03,Fall,2011,Sep,0,6,0,Clear/Cloudy,4484
2011-09-04,Fall,2011,Sep,0,0,0,Clear/Cloudy,4940
2011-09-05,Fall,2011,Sep,1,1,0,Mist/Overcast,3351
2011-09-06,Fall,2011,Sep,0,2,1,Light Rain/Snow,2710
2011-09-07,Fall,2011,Sep,0,3,1,Light Rain/Snow,1996
2011-09-08,Fall,2011,Sep,0,4,1,Light Rain/Snow,1842
2011-09-09,Fall,2011,Sep,0,5,1,Mist/Overcast,3544
2011-09-10,Fall,2011,Sep,0,6,0,Clear/Cloudy,5345
2011-09-11,Fall,2011,Sep,0,0,0,Clear/Cloudy,5046
2011-09-12,Fall,2011,Sep,0,1,1,Clear/Cloudy,4713
2011-09-13,Fall,2011,Sep,0,2,1,Clear/Cloudy,4763
2011-09-14,Fall,2011,Sep,0,3,1,Clear/Cloudy,4785
2011-09-15,Fall,2011,Sep,0,4,1,Mist/Overcast,3659
2011-09-16,Fall,2011,Sep,0,5,1,Mist/Overcast,4760
2011-09-17,Fall,2011,Sep,0,6,0,Mist/Overcast,4511
2011-09-18,Fall,2011,Sep,0,0,0,Clear/Cloudy,4274
2011-09-19,Fall,2011,Sep,0,1,1,Mist/Overcast,4539
2011-09-20,Fall,2011,Sep,0,2,1,Mist/Overcast,3641
2011-09-21,Fall,2011,Sep,0,3,1,Mist/Overcast,4352
2011-09-22,Fall,2011,Sep,0,4,1,Mist/Overcast,4795
2011-09-23,Winter,2011,Sep,0,5,1,Mist/Overcast,2395
2011-09-24,Winter,2011,Sep,0,6,0,Mist/Overcast,5423
2011-09-25,Winter,2011,Sep,0,0,0,Mist/Overcast,5010
2011-09-26,Winter,2011,Sep,0,1,1,Mist/Overcast,4630
2011-09-27,Winter,2011,Sep,0,2,1,Mist/Overcast,4120
2011-09-28,Winter,2011,Sep,0,3,1,Mist/Overcast,3907
2011-09-29,Winter,2011,Sep,0,4,1,Clear/Cloudy,4839
2011-09-30,Winter,2011,Sep,0,5,1,Clear/Cloudy,5202
2011-10-01,Winter,2011,Oct,0,6,0,Mist/Overcast,2429
2011-10-02,Winter,2011,Oct,0,0,0,Mist/Overcast,2918
2011-10-03,Winter,2011,Oct,0,1,1,Mist/Overcast,3570
2011-10-04,Winter,2011,Oct,0,2,1,Clear/Cloudy,4456
2011-10-05,Winter,2011,Oct,0,3,1,Clear/Cloudy,4826
2011-10-06,Winter,2011,Oct,0,4,1,Clear/Cloudy,4765
2011-10-07,Winter,2011,Oct,0,5,1,Clear/Cloudy,4985
2011-10-08,Winter,2011,Oct,0,6,0,Clear/Cloudy,5409
2011-10-09,Winter,2011,Oct,0,0,0,Clear/Cloudy,5511
2011-10-10,Winter,2011,Oct,1,1,0,Clear/Cloudy,5117
2011-10-11,Winter,2011,Oct,0,2,1,Mist/Overcast,4563
2011-10-12,Winter,2011,Oct,0,3,1,Light Rain/Snow,2416
2011-10-13,Winter,2011,Oct,0,4,1,Mist/Overcast,2913
2011-10-14,Winter,2011,Oct,0,5,1,Mist/Overcast,3644
2011-10-15,Winter,2011,Oct,0,6,0,Clear/Cloudy,5217
2011-10-16,Winter,2011,Oct,0,0,0,Clear/Cloudy,5041
2011-10-17,Winter,2011,Oct,0,1,1,Clear/Cloudy,4570
2011-10-18,Winter,2011,Oct,0,2,1,Mist/Overcast,4748
2011-10-19,Winter,2011,Oct,0,3,1,Light Rain/Snow,2424
2011-10-20,Winter,2011,Oct,0,4,1,Clear/Cloudy,4195
2011-10-21,Winter,2011,Oct,0,5,1,Clear/Cloudy,4304
2011-10-22,Winter,2011,Oct,0,6,0,Clear/Cloudy,4308
2011-10-23,Winter,2011,Oct,0,0,0,Clear/Cloudy,4381
2011-10-24,Winter,2011,Oct,0,1,1,Clear/Cloudy,4187
2011-10-25,Winter,2011,Oct,0,2,1,Clear/Cloudy,4687
2011-10-26,Winter,2011,Oct,0,3,1,Mist/Overcast,3894
2011-10-27,Winter,2011,Oct,0,4,1,Mist/Overcast,2659
2011-10-28,Winter,2011,Oct,0,5,1,Mist/Overcast,3747
2011-10-29,Winter,2011,Oct,0,6,0,Light Rain/Snow,627
2011-10-30,Winter,2011,Oct,0,0,0,Clear/Cloudy,3331
2011-10-31,Winter,2011,Oct,0,1,1,Clear/Cloudy,3669
2011-11-01,Winter,2011,Nov,0,2,1,Clear/Cloudy,4068
2011-11-02,Winter,2011,Nov,0,3,1,Clear/Cloudy,4186
2011-11-03,Winter,2011,Nov,0,4,1,Clear/Cloudy,3974
2011-11-04,Winter,2011,Nov,0,5,1,Mist/Overcast,4046
2011-11-05,Winter,2011,Nov,0,6,0,Clear/Cloudy,3926
2011-11-06,Winter,2011,Nov,0,0,0,Clear/Cloudy,3649
2011-11-07,Winter,2011,Nov,0,1,1,Clear/Cloudy,4035
2011-11-08,Winter,2011,Nov,0,2,1,Clear/Cloudy,4205
2011-11-09,Winter,2011,Nov,0,3,1,Clear/Cloudy,4109
2011-11-10,Winter,2011,Nov,0,4,1,Mist/Overcast,2933
2011-11-11,Winter,2011,Nov,1,5,0,Clear/Cloudy,3368
2011-11-12,Winter,2011,Nov,0,6,0,Clear/Cloudy,4067
2011-11-13,Winter,2011,Nov,0,0,0,Clear/Cloudy,3717
2011-11-14,Winter,2011,Nov,0,1,1,Clear/Cloudy,4486
2011-11-15,Winter,2011,Nov,0,2,1,Mist/Overcast,4195
2011-11-16,Winter,2011,Nov,0,3,1,Light Rain/Snow,1817
2011-11-17,Winter,2011,Nov,0,4,1,Mist/Overcast,3053
2011-11-18,Winter,2011,Nov,0,5,1,Clear/Cloudy,3392
2011-11-19,Winter,2011,Nov,0,6,0,Clear/Cloudy,3663
2011-11-20,Winter,2011,Nov,0,0,0,Mist/Overcast,3520
2011-11-21,Winter,2011,Nov,0,1,1,Light Rain/Snow,2765
2011-11-22,Winter,2011,Nov,0,2,1,Light Rain/Snow,1607
2011-11-23,Winter,2011,Nov,0,3,1,Mist/Overcast,2566
2011-11-24,Winter,2011,Nov,1,4,0,Clear/Cloudy,1495
2011-11-25,Winter,2011,Nov,0,5,1,Clear/Cloudy,2792
2011-11-26,Winter,2011,Nov,0,6,0,Clear/Cloudy,3068
2011-11-27,Winter,2011,Nov,0,0,0,Clear/Cloudy,3071
2011-11-28,Winter,2011,Nov,0,1,1,Clear/Cloudy,3867
2011-11-29,Winter,2011,Nov,0,2,1,Mist/Overcast,2914
2011-11-30,Winter,2011,Nov,0,3,1,Clear/Cloudy,3613
2011-12-01,Winter,2011,Dec,0,4,1,Clear/Cloudy,3727
2011-12-02,Winter,2011,Dec,0,5,1,Clear/Cloudy,3940
2011-12-03,Winter,2011,Dec,0,6,0,Clear/Cloudy,3614
2011-12-04,Winter,2011,Dec,0,0,0,Clear/Cloudy,3485
2011-12-05,Winter,2011,Dec,0,1,1,Mist/Overcast,3811
2011-12-06,Winter,2011,Dec,0,2,1,Light Rain/Snow,2594
2011-12-07,Winter,2011,Dec,0,3,1,Light Rain/Snow,705
2011-12-08,Winter,2011,Dec,0,4,1,Clear/Cloudy,3322
2011-12-09,Winter,2011,Dec,0,5,1,Clear/Cloudy,3620
2011-12-10,Winter,2011,Dec,0,6,0,Clear/Cloudy,3190
2011-12-11,Winter,2011,Dec,0,0,0,Clear/Cloudy,2743
2011-12-12,Winter,2011,Dec,0,1,1,Clear/Cloudy,3310
2011-12-13,Winter,2011,Dec,0,2,1,Clear/Cloudy,3523
2011-12-14,Winter,2011,Dec,0,3,1,Mist/Overcast,3740
2011-12-15,Winter,2011,Dec,0,4,1,Mist/Overcast,3709
2011-12-16,Winter,2011,Dec,0,5,1,Mist/Overcast,3577
2011-12-17,Winter,2011,Dec,0,6,0,Mist/Overcast,2739
2011-12-18,Winter,2011,Dec,0,0,0,Clear/Cloudy,2431
2011-12-19,Winter,2011,Dec,0,1,1,Clear/Cloudy,3403
2011-12-20,Winter,2011,Dec,0,2,1,Mist/Overcast,3750
2011-12-21,Spring,2011,Dec,0,3,1,Mist/Overcast,2660
2011-12-22,Spring,2011,Dec,0,4,1,Mist/Overcast,3068
2011-12-23,Spring,2011,Dec,0,5,1,Clear/Cloudy,2209
2011-12-24,Spring,2011,Dec,0,6,0,Clear/Cloudy,1011
2011-12-25,Spring,2011,Dec,0,0,0,Clear/Cloudy,754
2011-12-26,Spring,2011,Dec,1,1,0,Clear/Cloudy,1317
2011-12-27,Spring,2011,Dec,0,2,1,Mist/Overcast,1162
2011-12-28,Spring,2011,Dec,0,3,1,Clear/Cloudy,2302
2011-12-29,Spring,2011,Dec,0,4,1,Clear/Cloudy,2423
2011-12-30,Spring,2011,Dec,0,5,1,Clear/Cloudy,2999
2011-12-31,Spring,2011,Dec,0,6,0,Clear/Cloudy,2485
2012-01-01,Spring,2012,Jan,0,0,0,Clear/Cloudy,2294
2012-01-02,Spring,2012,Jan,1,1,0,Clear/Cloudy,1951
2012-01-03,Spring,2012,Jan,0,2,1,Clear/Cloudy,2236
2012-01-04,Spring,2012,Jan,0,3,1,Mist/Overcast,2368
2012-01-05,Spring,2012,Jan,0,4,1,Clear/Cloudy,3272
2012-01-06,Spring,2012,Jan,0,5,1,Clear/Cloudy,4098
2012-01-07,Spring,2012,Jan,0,6,0,Clear/Cloudy,4521
2012-01-08,Spring,2012,Jan,0,0,0,Clear/Cloudy,3425
2012-01-09,Spring,2012,Jan,0,1,1,Mist/Overcast,2376
2012-01-10,Spring,2012,Jan,0,2,1,Clear/Cloudy,3598
2012-01-11,Spring,2012,Jan,0,3,1,Mist/Overcast,2177
2012-01-12,Spring,2012,Jan,0,4,1,Mist/Overcast,4097
2012-01-13,Spring,2012,Jan,0,5,1,Clear/Cloudy,3214
2012-01-14,Spring,2012,Jan,0,6,0,Clear/Cloudy,2493
2012-01-15,Spring,2012,Jan,0,0,0,Clear/Cloudy,2311
2012-01-16,Spring,2012,Jan,1,1,0,Clear/Cloudy,2298
2012-01-17,Spring,2012,Jan,0,2,1,Mist/Overcast,2935
